kode_bandara,nama_bandara,kategori,lokasi,date_create,date_modified
UBR,Bandar Udara Ubrub,Domestik,Keerom,2021-02-10 22:14:07,2021-02-10 22:14:07
KNG,Bandar Udara Utarom,Domestik,Kaimana,2021-02-10 22:14:07,2021-02-10 22:14:07
WET,Bandar Udara Waghete,Domestik,Deiyai,2021-02-10 22:14:07,2021-02-10 22:14:07
WMX,Bandar Udara Wamena,Domestik,Wamena,2021-02-10 22:14:07,2021-02-10 22:14:07
WAR,Bandar Udara Waris,Domestik,Keerom,2021-02-10 22:14:07,2021-02-10 22:14:07
WSR,Bandar Udara Wasior,Domestik,Wasior,2021-02-10 22:14:07,2021-02-10 22:14:07
RUF,Bandar Udara Yuruf,Domestik,Jayawijaya,2021-02-10 22:14:07,2021-02-10 22:14:07
UGU,Bandar Udara Zugapa,Domestik,Paniai,2021-02-10 22:14:07,2021-02-10 22:14:07
SOQ,Bandar Udara Domine Eduard Osok,Domestik,Sorong,2021-02-10 22:14:07,2021-02-10 22:14:07

